path,path_length,fidelity_rate,loss
"[(0, 6), (1, 6), (1, 5), (2, 5), (2, 4), (3, 4), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)]",12,2.734375,90.234375
"[(9, 0), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 8)]",9,3.125,85.9375
"[(2, 9), (3, 9), (3, 8), (4, 8), (4, 7), (5, 7), (5, 6)]",7,6.25,80.078125
"[(2, 6), (3, 6), (3, 5), (4, 5), (4, 4), (5, 4), (6, 4), (7, 4)]",8,3.125,83.59375
"[(4, 7), (5, 7), (5, 6), (6, 6), (6, 5), (7, 5), (7, 4), (8, 4), (8, 3), (9, 3), (9, 2), (9, 1), (9, 0)]",13,2.34375,91.015625
"[(2, 1), (3, 1), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0)]",9,3.515625,85.9375
"[(7, 2), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8)]",8,4.296875,83.59375
"[(4, 0), (3, 0), (3, 1), (2, 1), (2, 2)]",5,8.59375,66.796875
"[(0, 3), (1, 3), (1, 4), (2, 4), (2, 5), (3, 5), (3, 6), (4, 6), (4, 7), (4, 8)]",10,2.34375,87.5
"[(9, 8), (8, 8), (8, 7), (7, 7), (6, 7), (5, 7)]",6,5.859375,75.0
"[(0, 3), (1, 3), (1, 4), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4)]",9,2.34375,85.9375
"[(8, 6), (7, 6), (7, 7), (6, 7), (6, 8), (5, 8), (5, 9), (4, 9)]",8,3.90625,83.59375
"[(3, 7), (4, 7), (4, 6), (5, 6), (5, 5)]",5,8.984375,66.796875
"[(4, 6), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1), (5, 0)]",8,5.078125,83.59375
"[(0, 3), (1, 3), (1, 2), (2, 2), (2, 1), (3, 1), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0)]",11,3.125,89.0625
"[(7, 4), (7, 5), (7, 6), (7, 7)]",4,15.234375,50.0
"[(7, 5), (6, 5), (6, 4), (5, 4), (5, 3), (4, 3), (4, 2), (3, 2), (3, 1), (3, 0)]",10,3.515625,87.5
"[(3, 2), (3, 3), (3, 4), (3, 5)]",4,12.109375,50.0
"[(9, 8), (8, 8), (7, 8), (6, 8), (5, 8)]",5,7.421875,66.796875
"[(6, 9), (7, 9), (7, 8), (7, 7), (7, 6), (7, 5)]",6,4.6875,75.0
"[(8, 8), (7, 8), (7, 7), (6, 7), (6, 6), (5, 6), (5, 5), (4, 5), (4, 4), (4, 3)]",10,2.734375,87.5
"[(8, 5), (8, 4), (8, 3)]",3,25.78125,0.0
"[(7, 8), (6, 8), (6, 7), (5, 7), (5, 6), (4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (4, 1), (4, 0)]",12,3.515625,90.234375
"[(8, 1), (7, 1), (7, 2), (6, 2), (5, 2), (4, 2), (3, 2), (2, 2)]",8,3.90625,83.59375
"[(3, 2), (4, 2), (4, 3), (5, 3), (5, 4), (6, 4), (6, 5), (7, 5), (7, 6), (8, 6), (8, 7), (9, 7), (9, 8), (9, 9)]",14,2.734375,91.796875
"[(8, 4), (7, 4), (7, 5), (6, 5), (6, 6), (5, 6), (4, 6), (3, 6)]",8,5.46875,83.59375
"[(7, 2), (6, 2), (6, 3), (5, 3), (4, 3), (3, 3), (2, 3)]",7,5.859375,80.078125
"[(2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3)]",8,3.90625,83.59375
"[(1, 4), (2, 4), (2, 5), (3, 5), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6)]",9,2.34375,85.9375
"[(5, 9), (4, 9), (4, 8), (3, 8), (3, 7), (2, 7), (2, 6), (2, 5)]",8,4.6875,83.59375
"[(6, 2), (5, 2), (5, 3), (4, 3), (4, 4), (3, 4), (3, 5), (3, 6), (3, 7)]",9,2.34375,85.9375
"[(9, 0), (8, 0), (8, 1), (7, 1), (7, 2), (6, 2), (6, 3), (5, 3), (5, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9)]",15,1.953125,92.578125
"[(0, 8), (1, 8), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9)]",9,5.078125,85.9375
"[(3, 8), (4, 8), (4, 7), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2)]",9,3.90625,85.9375
"[(3, 6), (2, 6), (2, 5), (1, 5), (1, 4), (1, 3), (1, 2), (1, 1), (1, 0)]",9,1.5625,85.9375
"[(1, 3), (2, 3), (2, 4), (3, 4), (3, 5), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7), (7, 7)]",11,1.5625,89.0625
"[(3, 8), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)]",7,4.296875,80.078125
"[(7, 9), (6, 9), (6, 8), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]",8,3.90625,83.59375
"[(2, 3), (3, 3), (3, 4), (4, 4), (4, 5), (4, 6), (4, 7)]",7,2.734375,80.078125
"[(9, 6), (8, 6), (7, 6), (6, 6), (5, 6)]",5,11.71875,66.796875
"[(6, 1), (5, 1), (5, 2), (4, 2), (4, 3)]",5,9.375,66.796875
"[(2, 6), (3, 6), (3, 7), (4, 7), (4, 8), (4, 9)]",6,5.859375,75.0
