path,path_length,fidelity_rate,loss
"[(0, 5), (1, 5), (1, 4), (2, 4), (2, 3), (3, 3), (3, 2), (3, 1)]",8,4.6875,83.59375
"[(8, 7), (7, 7), (7, 6), (6, 6), (6, 5), (5, 5), (5, 4), (4, 4)]",8,3.90625,83.59375
"[(7, 2), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6)]",6,6.25,75.0
"[(5, 6), (4, 6), (4, 5), (3, 5), (3, 4), (2, 4), (2, 3), (1, 3), (1, 2), (0, 2), (0, 1), (0, 0)]",12,3.125,90.234375
"[(1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]",11,2.34375,89.0625
"[(8, 8), (7, 8), (6, 8), (5, 8), (4, 8), (3, 8), (2, 8)]",7,6.640625,80.078125
"[(0, 5), (1, 5), (1, 6), (1, 7)]",4,12.5,50.0
"[(8, 2), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8)]",8,2.734375,83.59375
"[(5, 2), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7)]",7,5.46875,80.078125
"[(7, 1), (6, 1), (6, 2), (5, 2), (5, 3), (4, 3), (4, 4), (3, 4), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9)]",14,3.125,91.796875
"[(2, 5), (3, 5), (3, 4), (4, 4), (5, 4)]",5,7.03125,66.796875
"[(9, 8), (8, 8), (8, 7), (7, 7), (7, 6), (7, 5)]",6,6.25,75.0
"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (6, 8)]",6,6.25,75.0
"[(1, 6), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (0, 1), (0, 0)]",8,3.125,83.59375
"[(6, 8), (5, 8), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)]",7,5.078125,80.078125
"[(6, 6), (5, 6), (5, 5), (4, 5), (4, 4), (4, 3), (4, 2)]",7,4.296875,80.078125
"[(6, 8), (5, 8), (5, 7), (4, 7), (4, 6), (4, 5), (4, 4), (4, 3)]",8,3.90625,83.59375
"[(5, 0), (4, 0), (4, 1), (3, 1), (3, 2), (2, 2), (2, 3), (1, 3), (1, 4), (0, 4), (0, 5)]",11,3.125,89.0625
"[(6, 8), (7, 8), (7, 7)]",3,25.78125,0.0
"[(2, 9), (3, 9), (3, 8), (4, 8), (4, 7), (5, 7), (5, 6), (6, 6), (6, 5)]",9,5.078125,85.9375
"[(0, 3), (1, 3), (1, 4), (2, 4), (2, 5), (3, 5), (3, 6), (3, 7)]",8,3.125,83.59375
"[(5, 0), (4, 0), (4, 1), (3, 1), (3, 2), (2, 2), (2, 3), (1, 3), (1, 4), (0, 4), (0, 5), (0, 6), (0, 7)]",13,1.953125,91.015625
"[(6, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7)]",9,4.6875,85.9375
"[(0, 5), (1, 5), (1, 6), (1, 7)]",4,16.40625,50.0
"[(1, 5), (1, 6), (1, 7), (1, 8), (1, 9)]",5,7.03125,66.796875
"[(1, 4), (1, 5), (1, 6)]",3,36.328125,0.0
"[(7, 9), (6, 9), (6, 8), (6, 7), (6, 6), (6, 5), (6, 4), (6, 3)]",8,6.640625,83.59375
"[(5, 3), (4, 3), (4, 4), (3, 4), (2, 4)]",5,7.8125,66.796875
"[(4, 6), (3, 6), (3, 7), (3, 8)]",4,12.5,50.0
"[(5, 9), (4, 9), (4, 8), (4, 7), (4, 6)]",5,8.984375,66.796875
"[(9, 1), (8, 1), (8, 2), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8)]",10,2.734375,87.5
"[(3, 1), (4, 1)]",2,45.31249999999999,0.0
"[(7, 6), (8, 6), (8, 5), (9, 5)]",4,12.890625,50.0
"[(5, 8), (4, 8), (3, 8)]",3,24.21875,0.0
"[(2, 4), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8)]",6,5.859375,75.0
"[(2, 9), (3, 9), (3, 8), (4, 8), (5, 8), (6, 8)]",6,4.6875,75.0
"[(4, 6), (3, 6), (3, 7), (2, 7), (1, 7)]",5,7.03125,66.796875
"[(5, 6), (4, 6), (4, 7), (3, 7), (2, 7), (1, 7), (0, 7)]",7,5.078125,80.078125
"[(5, 1), (6, 1), (7, 1), (8, 1)]",4,11.71875,50.0
"[(8, 2), (9, 2), (9, 3), (9, 4), (9, 5)]",5,6.640625,66.796875
"[(0, 8), (1, 8), (1, 7), (2, 7), (2, 6), (3, 6), (3, 5), (4, 5), (4, 4), (4, 3)]",10,4.6875,87.5
"[(6, 6), (7, 6)]",2,44.53124999999999,0.0
"[(1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (4, 2), (4, 3), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]",13,2.34375,91.015625
"[(2, 6), (3, 6), (3, 5), (4, 5), (4, 4), (5, 4), (5, 3), (6, 3), (6, 2)]",9,3.125,85.9375
"[(9, 9), (8, 9), (8, 8), (7, 8), (7, 7), (6, 7), (6, 6), (5, 6), (5, 5), (4, 5), (4, 4), (4, 3), (4, 2), (4, 1)]",14,2.34375,91.796875
"[(1, 3), (2, 3), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4)]",10,3.90625,87.5
"[(1, 9), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2)]",9,4.6875,85.9375
"[(5, 6), (4, 6), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5)]",7,3.90625,80.078125
"[(3, 8), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1)]",9,3.125,85.9375
"[(5, 4), (4, 4), (4, 5), (3, 5), (3, 6), (2, 6), (2, 7), (1, 7), (1, 8)]",9,4.296875,85.9375
"[(1, 5), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6)]",10,3.125,87.5
"[(1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5)]",7,2.34375,80.078125
"[(8, 3), (7, 3), (7, 4), (6, 4), (6, 5), (5, 5), (5, 6), (4, 6), (4, 7), (4, 8)]",10,3.90625,87.5
"[(4, 6), (5, 6), (5, 5)]",3,23.046875,0.0
"[(8, 5), (8, 6), (8, 7), (8, 8), (8, 9)]",5,7.8125,66.796875
"[(5, 4), (5, 3), (5, 2), (5, 1)]",4,14.0625,50.0
"[(4, 6), (5, 6), (5, 7), (6, 7), (6, 8), (7, 8), (7, 9)]",7,5.46875,80.078125
"[(4, 0), (5, 0), (5, 1), (5, 2), (5, 3)]",5,9.765625,66.796875
"[(6, 7), (7, 7), (7, 8), (7, 9)]",4,14.84375,50.0
"[(3, 4), (4, 4), (4, 5), (5, 5), (6, 5)]",5,8.203125,66.796875
"[(0, 7), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2), (1, 1)]",8,3.125,83.59375
"[(1, 7), (2, 7)]",2,44.140624999999986,0.0
